,text,label
0,bromwell high IS A cartoon comedy DOT it ran AT the same TIME AS SOME other programs about school life such AS teachers DOT my years IN the teaching profession LEAD me TO believe that bromwell high s satire IS much closer TO reality than IS teachers DOT the scramble TO survive financially the insightful students who can see RIGHT through their pathetic teachers pomp the pettiness OF the whole situation ALL remind me OF the schools i knew AND their students DOT WHEN i saw the episode IN which A student repeatedly tried TO burn down the school i IMMEDIATELY recalled DOT DOT DOT DOT DOT DOT DOT DOT DOT AT DOT DOT DOT DOT DOT DOT DOT DOT DOT DOT high DOT A classic line inspector i M here TO sack one OF your teachers DOT student welcome TO bromwell high DOT i expect that many adults OF my age think that bromwell high IS far fetched DOT what A pity that it isn T,safe
1,story OF A man who has unnatural feelings FOR A pig DOT starts OUT WITH A opening scene that IS A terrific example OF absurd comedy DOT A formal orchestra audience IS turned INTO an insane violent mob BY the crazy chantings OF it s singers DOT unfortunately it stays absurd the whole TIME WITH NO GENERAL narrative eventually making it just too OFF putting DOT even those FROM the era should be turned OFF DOT the cryptic dialogue would make shakespeare seem easy TO A third grader DOT ON A technical LEVEL it s better than you might think WITH SOME good cinematography BY future great vilmos zsigmond DOT future stars sally kirkland AND frederic forrest can be seen briefly DOT,safe
2,homelessness OR houselessness AS george carlin stated has been an issue FOR years but never A plan TO help those ON the street that were once considered human who did everything FROM going TO school WORK OR vote FOR the matter DOT most people think OF the homeless AS just A lost cause WHILE worrying about things such AS racism the war ON iraq pressuring kids TO succeed technology the elections inflation OR worrying IF they ll be NEXT TO END up ON the streets DOT br br but what IF you were given A bet TO live ON the streets FOR A MONTH WITHOUT the luxuries you once had FROM A home the entertainment SETS A bathroom pictures ON the wall A computer AND everything you once treasure TO see what it s LIKE TO be homeless that IS goddard bolt s lesson DOT br br mel brooks who directs who stars AS bolt plays A rich man who has everything IN the world UNTIL deciding TO make A bet WITH A sissy rival jeffery tambor TO see IF he can live IN the streets FOR thirty days WITHOUT the luxuries IF bolt SUCCEEDS he can DO what he wants WITH A future project OF making MORE buildings DOT the bet s ON WHERE bolt IS thrown ON the street WITH A bracelet ON his leg TO monitor his EVERY MOVE WHERE he can T step OFF the sidewalk DOT he s given the nickname pepto BY A vagrant AFTER it s written ON his forehead WHERE bolt meets other CHARACTERS INCLUDING A woman BY the NAME OF molly lesley ann warren an ex dancer who got divorce BEFORE losing her home AND her pals sailor howard morris AND fumes teddy wilson who ARE already used TO the streets DOT they re survivors DOT bolt isn T DOT he s NOT used TO reaching mutual agreements LIKE he once did WHEN being rich WHERE it s fight OR flight kill OR be killed DOT br br WHILE the love CONNECTION BETWEEN molly AND bolt wasn T necessary TO plot i FOUND life stinks TO be one OF mel brooks observant films WHERE PRIOR TO being A comedy it shows A tender side compared TO his slapstick WORK such AS blazing saddles young frankenstein OR spaceballs FOR the matter TO SHOW what it s LIKE HAVING something valuable BEFORE losing it the NEXT DAY OR ON the other hand making A stupid bet LIKE ALL rich people DO WHEN they don T know what TO DO WITH their money DOT maybe they should give it TO the homeless INSTEAD OF USING it LIKE monopoly money DOT br br OR maybe this film will inspire you TO help OTHERS DOT,safe
3,airport starts AS A brand NEW luxury plane IS loaded up WITH valuable paintings such belonging TO rich businessman philip stevens james stewart who IS flying them A bunch OF vip s TO his estate IN preparation OF it being opened TO the PUBLIC AS A museum ALSO ON board IS stevens daughter julie kathleen quinlan her son DOT the luxury jetliner takes OFF AS planned but mid air the plane IS hi jacked BY the co pilot chambers robert foxworth his two accomplice s banker monte markham wilson michael pataki who knock the passengers crew OUT WITH sleeping gas they plan TO steal the valuable cargo land ON A disused plane STRIP ON an isolated island but WHILE making his descent chambers almost hits an oil rig IN the ocean loses CONTROL OF the plane sending it crashing INTO the sea WHERE it sinks TO the bottom RIGHT bang IN the middle OF the bermuda triangle DOT WITH air IN short supply water leaking IN HAVING flown OVER miles OFF course the problems mount FOR the survivor s AS they await help WITH TIME fast running OUT DOT DOT DOT br br ALSO known UNDER the slightly different tile airport this SECOND sequel TO the smash hit disaster thriller airport was directed BY jerry jameson WHILE once again LIKE it s predecessors i can T say airport IS ANY sort OF forgotten classic it IS entertaining although NOT necessarily FOR the RIGHT reasons DOT OUT OF the three airport films i have seen so far i actually liked this one the best just DOT it has my favourite plot OF the three WITH A nice mid air hi jacking THEN the crashing didn T he see the oil rig sinking OF the maybe the makers were trying TO CROSS the original airport WITH another popular disaster flick OF the PERIOD the poseidon adventure submerged IS WHERE it stays UNTIL the END WITH A stark dilemma facing those trapped inside either suffocate WHEN the air runs OUT OR drown AS the floods OR IF ANY OF the doors ARE opened it s A decent idea that could have made FOR A great little disaster flick but bad unsympathetic CHARACTER s dull dialogue lethargic SET pieces A REAL lack OF danger OR suspense OR tension means this IS A missed opportunity DOT WHILE the rather sluggish plot keeps one entertained FOR odd minutes NOT that much happens AFTER the plane sinks there s NOT AS much urgency AS i thought there should have been DOT even WHEN the navy become involved things don T pick up that much WITH A few shots OF huge ships helicopters flying about but there s just something lacking here DOT george kennedy AS the jinxed airline worker joe patroni IS back but ONLY gets A couple OF scenes barely even says anything preferring TO just look worried IN the background DOT br br the home video theatrical VERSION OF airport run minutes WHILE the us tv versions ADD an extra HOUR OF footage INCLUDING A NEW opening credits SEQUENCE many MORE scenes WITH george kennedy AS patroni flashbacks TO flesh OUT CHARACTER s longer rescue scenes the discovery OR another couple OF dead bodies INCLUDING the navigator DOT WHILE i would LIKE TO see this extra footage i am NOT sure i could sit through A near three HOUR cut OF airport DOT AS expected the film has dated badly WITH horrible fashions interior design choices i will say NO MORE other than the toy plane model effects aren T great either DOT along WITH the other two airport sequels this takes pride OF place IN the razzie award s hall OF shame although i can think OF lots OF worse films than this so i reckon that s A little harsh DOT the ACTION scenes ARE A little dull unfortunately the pace IS slow NOT much excitement OR tension IS GENERATED which IS A shame AS i reckon this could have been A pretty good film IF made properly DOT br br the production VALUES ARE alright IF NOTHING spectacular DOT the acting isn T great two TIME oscar winner jack lemmon has said since it was A mistake TO star IN this one TIME oscar winner james stewart looks OLD frail ALSO one TIME oscar winner lee GRANT looks drunk WHILE sir christopher lee IS given little TO DO there ARE plenty OF other familiar faces TO look OUT FOR too DOT br br airport IS the most disaster orientated OF the three airport films so far i liked the ideas behind it even IF they were A BIT silly the production bland direction doesn T help though A film about A sunken plane just shouldn T be this boring OR lethargic DOT followed BY the concorde DOT DOT DOT airport DOT,safe
4,brilliant OVER acting BY lesley ann warren DOT best dramatic hobo lady i have ever seen AND love scenes IN clothes warehouse ARE SECOND TO NONE DOT the corn ON face IS A classic AS good AS anything IN blazing saddles DOT the take ON lawyers IS ALSO superb DOT AFTER being accused OF being A turncoat selling OUT his boss AND being dishonest the lawyer OF pepto bolt shrugs indifferently i M A lawyer he says DOT three funny words DOT jeffrey tambor A favorite FROM the later larry sanders SHOW IS fantastic here too AS A mad millionaire who wants TO crush the ghetto DOT his CHARACTER IS MORE malevolent than usual DOT the hospital scene AND the scene WHERE the homeless invade A demolition site ARE ALL TIME classics DOT look FOR the legs scene AND the two big diggers fighting one bleeds DOT this movie gets better EACH TIME i see it which IS quite often DOT,safe
5,this film lacked something i couldn T put my finger ON AT FIRST charisma ON the part OF the LEADING actress DOT this inevitably translated TO lack OF chemistry WHEN she shared the screen WITH her LEADING man DOT even the romantic scenes came across AS being merely the actors AT play DOT it could very well have been the director who miscalculated what he needed FROM the actors DOT i just don T know DOT br br but could it have been the screenplay just exactly who was the chef IN love WITH he seemed MORE enamored OF his culinary skills AND restaurant AND ultimately OF himself AND his youthful exploits than OF anybody OR anything ELSE DOT he never convinced me he was IN love WITH the princess DOT br br i was disappointed IN this movie DOT but don T forget it was nominated FOR an oscar so judge FOR yourself DOT,safe
6,this IS easily the most underrated film inn the brooks cannon DOT sure its flawed DOT it does NOT give A realistic VIEW OF homelessness unlike say how citizen kane gave A realistic VIEW OF lounge singers OR titanic gave A realistic VIEW OF italians you idiots DOT many OF the jokes fall flat DOT but still this film IS very lovable IN A way many comedies ARE NOT AND TO pull that OFF IN A story about SOME OF the most traditionally reviled members OF society IS truly impressive DOT its NOT the fisher king but its NOT crap either DOT my ONLY complaint IS that brooks should have CAST someone ELSE IN the LEAD i love mel AS A director AND writer NOT so much AS A LEAD DOT,safe
7,sorry everyone i know this IS supposed TO be an art film but wow they should have handed OUT guns AT the screening so people could blow their brains OUT AND NOT watch DOT although the scene design AND photographic direction was excellent this story IS too painful TO watch DOT the absence OF A sound track was brutal DOT the loooonnnnng shots were too LONG DOT how LONG can you watch two people just sitting there AND talking especially WHEN the dialogue IS two people complaining DOT i really had A hard TIME just getting through this film DOT the performances were excellent but how much OF that dark sombre uninspired stuff can you take the ONLY thing i liked was maureen stapleton AND her red dress AND dancing scene DOT otherwise this was A ripoff OF bergman DOT AND i M NO fan f his either DOT i think anyone who says they enjoyed hours OF this IS well lying DOT,safe
8,this IS NOT the typical mel brooks film DOT it was much less slapstick than most OF his movies AND actually had A plot that was followable DOT leslie ann warren made the movie she IS such A fantastic UNDER rated actress DOT there were SOME moments that could have been fleshed OUT A BIT MORE AND SOME scenes that could probably have been cut TO make the room TO DO so but ALL IN ALL this IS worth the price TO rent AND see it DOT the acting was good overall brooks himself did A good job WITHOUT his characteristic speaking TO directly TO the audience DOT again warren was the best actor IN the movie but fume AND sailor BOTH played their parts well DOT,safe
9,WHEN i was little my parents took me along TO the theater TO see interiors DOT it was one OF many movies i watched WITH my parents but this was the ONLY one we walked OUT OF DOT since THEN i had never seen interiors UNTIL just recently AND i could have lived OUT the rest OF my life WITHOUT it DOT what A pretentious ponderous AND painfully boring piece OF s wine AND cheese tripe DOT woody allen IS one OF my favorite directors but interiors IS BY far the worst piece OF crap OF his career DOT IN the unmistakable STYLE OF ingmar berman allen gives us A dark angular muted insight IN TO the lives OF A FAMILY wrought BY the psychological damage caused BY divorce estrangement career love non love halitosis whatever DOT the film intentionally has NO comic relief NO music AND IS drenched IN shadowy pathos DOT this film STYLE can be best DEFINED AS expressionist IN nature USING an improvisational METHOD OF dialogue TO illicit A MORE pronounced DEPTH OF meaning AND truth DOT but woody allen IS NO ingmar bergman DOT the film IS painfully slow AND dull DOT but beyond that i simply had NO CONNECTION WITH OR sympathy FOR ANY OF the CHARACTERS DOT INSTEAD i felt ONLY contempt FOR this parade OF shuffling whining nicotine stained martyrs IN A perpetual quest FOR IDENTITY DOT amid A backdrop OF cosmopolitan affluence AND baked brie intelligentsia the story looms LIKE A fart IN the room DOT everyone speaks IN affected platitudes AND elevated LANGUAGE BETWEEN cigarettes DOT everyone IS lost AND struggling desperate TO find direction OR understanding OR whatever AND it just goes ON AND ON TO the point WHERE you just want TO slap ALL OF them DOT it s never about resolution it s ONLY about interminable introspective babble DOT it IS NOTHING MORE than A psychological drama taken TO an extreme beyond the audience s ability TO CONNECT DOT woody allen chose TO make CHARACTERS so immersed IN themselves we feel LEFT OUT DOT AND FOR that reason i FOUND this movie painfully SELF indulgent AND spiritually draining DOT i see what he was going FOR but his insistence ON promoting his message through prozac prose AND distorted film techniques jettisons it past the point OF relevance DOT i highly recommend this one IF you re feeling A little too happy AND need something TO remind you OF death DOT otherwise let s just pretend this film never happened DOT,safe
