,text,label
0,LT script GT alert LPRN INT RPRN SMCLN LT SLSH script GT,xss
1,LT script GT alert LPRN DQUT xss DQUT RPRN SMCLN LT SLSH script GT,xss
2,LT script GT alert LPRN INT RPRN LT SLSH script GT,xss
3,LT script GT alert LPRN DQUT hellox worldss DQUT RPRN SMCLN LT SLSH script GT,xss
4,LT script GT alert LPRN RQUT xss” RPRN LT SLSH script GT,xss
5,LT script GT alert LPRN RQUT xss” RPRN SMCLN LT SLSH script GT,xss
6,LT script GT alert LPRN ‘xss’ RPRN LT SLSH script GT,xss
7,RQUT GT LT script GT alert LPRN RQUT xss” RPRN LT SLSH script GT,xss
8,LT script GT alert LPRN SLSH xss” RPRN LT SLSH script GT,xss
9,LT script GT alert LPRN SLSH xss SLSH RPRN LT SLSH script GT,xss
10,LT SLSH script GT LT script GT alert LPRN INT RPRN LT SLSH script GT,xss
11,‘ SMCLN alert LPRN INT RPRN SMCLN,xss
12,‘ RPRN alert LPRN INT RPRN SMCLN SLSH SLSH,xss
13,LT script GT alert LPRN INT RPRN LT SLSH script GT,xss
14,LT img src EQ javascript CLN alert LPRN ‘xss’ RPRN GT,xss
15,LT img src EQ ”javascript CLN alert LPRN ‘xss’ RPRN SMCLN ” GT,xss
16,LT img src EQ javascript CLN alert LPRN BITAND quot SMCLN xss BITAND quot SMCLN RPRN GT,xss
17,LT img src EQ javascript CLN alert LPRN ‘xss’ RPRN GT,xss
18,LT img src EQ xss onerror EQ alert LPRN INT RPRN GT,xss
19,,xss
20,,xss
21,LT iframe PRCNT INT src EQ DQUT BITAND tab SMCLN javascript CLN prompt LPRN INT RPRN BITAND tab SMCLN DQUT PRCNT INT GT,xss
22,,xss
23,LT svg GT LT STYLE GT LCBR font MINUS FAMILY BITAND colon SMCLN SQUT LT iframe SLSH onload EQ confirm LPRN INT RPRN GT SQUT,xss
24,,xss
25,LT INPUT SLSH onmouseover EQ DQUT javascript BITAND colon SMCLN confirm BITAND lpar SMCLN INT BITAND rpar SMCLN DQUT,xss
26,,xss
27,LT svg GT LT script PRCNT INT GT alert BITAND lpar SMCLN INT BITAND rpar SMCLN LCBR opera RCBR,xss
28,,xss
29,LT img SLSH src EQ REMOVE PRCNT INT REMOVE onerror EQ this DOT onerror EQ confirm LPRN INT RPRN,xss
30,,xss
31,LT form GT LT isindex formaction EQ DQUT javascript BITAND colon SMCLN confirm LPRN INT RPRN DQUT,xss
32,,xss
33,LT img src EQ REMOVE PRCNT INT REMOVE BITAND newline SMCLN onerror EQ alert LPRN INT RPRN BITAND newline SMCLN,xss
34,,xss
